Year,STcode,STname,LGAcode,LGAname,Males0004,Males0509,Males1014,Males1519,Males2024,Males2529,Males3034,Males3539,Males4044,Males4549,Males5054,Males5559,Males6064,Males6569,Males7074,Males7579,Males8084,Males85AndOver,MalesTotal,Females0004,Females0509,Females1014,Females1519,Females2024,Females2529,Females3034,Females3539,Females4044,Females4549,Females5054,Females5559,Females6064,Females6569,Females7074,Females7579,Females8084,Females85AndOver,FemalesTotal,filter_$
2001,3,Queensland,32810,Douglas,376,346,358,333,330,420,524,468,486,379,393,275,247,182,130,72,43,33,5395,347,346,275,245,367,436,435,462,400,350,329,279,202,122,92,64,55,63,4869,1
2002,3,Queensland,32810,Douglas,392,349,347,325,303,421,497,463,497,416,393,336,257,190,132,76,47,35,5476,347,325,300,256,359,389,465,449,433,370,342,314,200,137,96,62,62,60,4966,1
2003,3,Queensland,32810,Douglas,390,359,339,298,319,400,487,456,490,423,418,343,289,192,139,79,53,32,5506,339,318,294,273,350,375,470,441,437,404,330,338,218,147,101,65,54,62,5016,1
2004,3,Queensland,32810,Douglas,398,351,333,284,329,375,460,451,493,414,427,344,306,202,144,84,51,26,5472,328,323,294,272,321,379,458,429,449,387,341,336,237,147,107,63,52,58,4981,1
2005,3,Queensland,32810,Douglas,402,349,336,283,322,345,442,448,467,449,407,364,290,225,144,91,53,21,5438,317,308,311,273,289,383,446,403,454,375,355,334,251,156,101,61,48,66,4931,1
2006,3,Queensland,32810,Douglas,362,373,327,288,312,337,435,461,469,433,408,418,325,228,150,89,61,25,5501,306,314,298,267,292,402,434,416,460,385,387,330,274,171,103,68,47,69,5023,1
2007,3,Queensland,32810,Douglas,380,364,332,309,318,339,435,478,454,454,428,403,354,244,159,103,55,27,5636,307,324,292,280,326,387,391,445,457,424,378,342,291,178,114,81,48,67,5132,1
2008,3,Queensland,32810,Douglas,398,355,338,313,316,390,413,483,462,473,419,424,337,277,161,111,64,29,5763,318,318,303,294,344,381,376,434,443,457,386,338,318,193,125,90,48,66,5232,1
2009,3,Queensland,32810,Douglas,402,364,320,296,344,414,408,479,460,500,407,434,340,282,175,116,64,31,5836,318,306,317,301,345,380,386,422,413,493,371,349,327,221,117,97,54,63,5280,1
2010,3,Queensland,32810,Douglas,408,367,304,296,350,451,380,483,439,507,430,422,352,281,191,117,68,33,5879,320,295,309,297,341,385,385,403,411,474,384,356,321,240,135,91,56,64,5267,1
2011,3,Queensland,32810,Douglas,404,354,321,285,337,442,389,464,449,492,445,396,408,290,203,113,76,34,5902,324,301,320,273,303,339,396,416,429,455,410,367,321,256,151,95,62,66,5284,1
2012,3,Queensland,32810,Douglas,432,361,328,294,316,398,349,421,449,468,466,425,389,320,220,125,79,41,5881,332,315,330,275,317,361,403,389,469,453,445,385,333,283,171,101,73,64,5499,1
2013,3,Queensland,32810,Douglas,412,385,330,283,316,383,384,397,453,453,505,431,411,315,246,137,80,51,5972,330,325,316,284,321,369,406,394,453,449,473,417,330,304,189,112,77,64,5613,1
2014,3,Queensland,32810,Douglas,389,387,353,265,314,372,382,396,442,442,520,447,438,324,261,158,88,55,6033,331,323,303,285,338,370,400,393,455,428,504,425,362,325,222,112,79,69,5724,1
2015,3,Queensland,32810,Douglas,379,381,354,259,305,366,397,380,435,410,508,496,456,363,257,174,101,63,6084,314,331,296,272,306,412,397,399,456,408,495,461,391,329,242,135,76,73,5793,1
2016,3,Queensland,32810,Douglas,361,377,356,280,281,367,400,369,424,420,493,510,485,404,259,184,104,75,6149,307,329,294,269,296,432,427,395,437,427,487,486,420,342,259,164,71,79,5921,1
2017,3,Queensland,32810,Douglas,362,377,349,271,286,373,400,361,425,422,475,531,492,418,289,192,115,73,6211,307,330,304,261,311,418,416,401,408,463,494,503,426,338,286,170,83,76,5995,1
2018,3,Queensland,32810,Douglas,359,336,362,271,286,381,380,370,400,426,469,541,470,449,301,210,122,74,6207,310,331,310,255,298,402,414,402,407,456,472,510,447,333,304,175,98,73,5997,1
2019,3,Queensland,32810,Douglas,333,330,358,293,278,382,395,353,391,423,478,533,493,468,311,229,127,82,6257,311,333,318,254,275,408,404,405,406,464,452,522,464,361,314,186,106,72,6055,1
2020,3,Queensland,32810,Douglas,309,320,362,292,271,383,401,349,371,424,478,516,525,485,331,245,140,87,6289,305,335,318,252,262,407,414,405,409,441,432,535,470,389,322,194,118,74,6082,1
2021,3,Queensland,32810,Douglas,271,313,355,292,271,369,415,352,352,440,494,510,535,488,388,256,146,91,6338,286,339,326,259,236,395,421,406,407,418,445,544,468,413,323,217,120,80,6103,1
2022,3,Queensland,32810,Douglas,272,313,362,289,267,380,433,348,345,444,490,519,553,512,398,281,146,95,6447,269,339,337,314,229,356,429,413,406,419,464,547,502,422,317,245,121,84,6213,1
