School,Year,Attendance (Percent),Short Suspension,Long Suspension,Exclusion
Mossman State High School,2010,90,126,10,4
Mossman State High School,2011,88,73,17,5
Mossman State High School,2012,88,76,10,2
Mossman State High School,2013,86,114,9,0
Mossman State High School,2014,86,141,10,2
Mossman State High School,2015,89,145,6,2
Mossman State High School,2016,88,202,7,1
Mossman State High School,2017,88,122,6,1
Mossman State High School,2018,89,120,15,4
Mossman State High School,2019,87,98,17,1
Mossman State High School,2020,89,94,7,1
Mossman State High School,2021,85,151,5,4
Mossman State High School,2022,81,295,3,1
